type,date,price,shares,return
sell,2020-12-07 05:00:00,131.09710693359375,,0.03454691024180465
buy,2020-12-08 05:00:00,130.69287109375,61.15487527177368,
sell,2020-12-14 05:00:00,124.84595489501952,,-0.04473783573502116
buy,2020-12-15 05:00:00,128.53355407714844,59.40035545276961,
sell,2020-12-21 05:00:00,125.53614807128906,,-0.023320027423035943
buy,2020-12-22 05:00:00,124.49100494384766,59.899041067019745,
sell,2020-12-28 05:00:00,126.52214050292967,,0.016315520627359154
buy,2020-12-29 05:00:00,127.19261169433594,59.583294885749325,
sell,2021-01-04 05:00:00,123.02185821533205,,-0.03279084707393913
buy,2021-01-05 05:00:00,124.32337951660156,58.95952703295161,
sell,2021-01-11 05:00:00,126.85736846923828,,0.02038223994947259
buy,2021-01-12 05:00:00,125.60517120361328,59.54731301202985,
sell,2021-01-19 05:00:00,125.08259582519533,,-0.004160460699271923
buy,2021-01-20 05:00:00,124.95441436767578,59.6083981798639,
sell,2021-01-25 05:00:00,117.94403076171876,,-0.05610352896640457
buy,2021-01-26 05:00:00,118.75254821777344,59.2025590532163,
sell,2021-02-01 05:00:00,116.10022735595705,,-0.0223348542967891
buy,2021-02-02 05:00:00,120.3892822265625,57.093376079754904,
sell,2021-02-08 05:00:00,127.28134155273438,,0.05724811377479267
buy,2021-02-09 05:00:00,125.26992797851562,58.01010360964133,
sell,2021-02-16 05:00:00,128.572998046875,,0.026367621676336134
buy,2021-02-17 05:00:00,129.49981689453125,57.594930378750234,
sell,2021-02-22 05:00:00,140.56260681152344,,0.08542706995487162
buy,2021-02-26 05:00:00,145.99542236328125,55.45169445806852,
sell,2021-03-03 05:00:00,144.2600860595703,,-0.011886237771160319
buy,2021-03-04 05:00:00,142.7416534423828,56.04156895869866,
sell,2021-03-09 05:00:00,144.9404296875,,0.01540388661677312
buy,2021-03-10 05:00:00,145.07846069335938,55.988249712710406,
sell,2021-03-16 04:00:00,148.51956176757812,,0.023718897055931186
buy,2021-03-17 04:00:00,153.76502990722656,54.078292811327195,
sell,2021-03-22 04:00:00,149.37738037109375,,-0.028534768528189283
buy,2021-03-23 04:00:00,140.42457580566406,57.52606813123929,
sell,2021-03-29 04:00:00,142.5740509033203,,0.015306972339592073
buy,2021-03-30 04:00:00,146.15316772460938,56.11732331019584,
sell,2021-04-05 04:00:00,148.81533813476562,,0.01821493472637194
buy,2021-04-06 04:00:00,149.49566650390625,55.86194328520251,
sell,2021-04-12 04:00:00,147.25750732421875,,-0.01497139838250106
buy,2021-04-13 04:00:00,146.72506713867188,56.0646567276143,
sell,2021-04-19 04:00:00,145.8278045654297,,-0.006115264356254629
buy,2021-04-20 04:00:00,139.9808807373047,58.40644637495559,
sell,2021-04-26 04:00:00,146.39967346191406,,0.04585478167304299
buy,2021-04-27 04:00:00,147.6420440673828,57.914970843006074,
sell,2021-05-03 04:00:00,146.80393981933594,,-0.005676596076280073
buy,2021-05-04 04:00:00,145.54188537597656,58.417175731314536,
sell,2021-05-10 04:00:00,138.6892547607422,,-0.04708356359086636
buy,2021-05-11 04:00:00,139.7245330810547,57.98433810262529,
sell,2021-05-17 04:00:00,137.9004364013672,,-0.01305494918798072
buy,2021-05-18 04:00:00,137.8117218017578,58.02166480655973,
sell,2021-05-24 04:00:00,139.9020233154297,,0.015167806383543876
buy,2021-05-25 04:00:00,140.7893829345703,57.655969032407626,
sell,2021-06-01 04:00:00,143.14590454101562,,0.01673792126456346
buy,2021-06-02 04:00:00,140.63165283203125,58.6867584439921,
sell,2021-06-07 04:00:00,140.4837188720703,,-0.0010519250608369657
buy,2021-06-08 04:00:00,143.6783447265625,57.38188375185727,
sell,2021-06-14 04:00:00,141.8838653564453,,-0.012489560438159986
buy,2021-06-15 04:00:00,142.09091186523438,57.29827025017301,
sell,2021-06-21 04:00:00,140.87814331054688,,-0.008535159207351319
buy,2021-06-22 04:00:00,139.4188690185547,57.89800178823742,
sell,2021-06-28 04:00:00,133.96633911132812,,-0.03910898105550482
buy,2021-06-29 04:00:00,133.10853576660156,58.27111910412481,
sell,2021-07-06 04:00:00,138.1666717529297,,0.03800008735125211
buy,2021-07-07 04:00:00,137.65394592285156,58.48816415657095,
sell,2021-07-12 04:00:00,139.78370666503906,,0.015471846650739158
buy,2021-07-13 04:00:00,136.40174865722656,59.93832529511064,
sell,2021-07-19 04:00:00,129.01670837402344,,-0.05414182996848161
buy,2021-07-20 04:00:00,133.13812255859375,58.08287879095897,
sell,2021-07-26 04:00:00,140.4936065673828,,0.0552470161621209
buy,2021-07-27 04:00:00,141.44017028808594,57.69416923450456,
sell,2021-08-02 04:00:00,142.8402557373047,,0.009898782265088129
buy,2021-08-03 04:00:00,140.63165283203125,58.60024910502174,
sell,2021-08-09 04:00:00,135.18898010253906,,-0.03870161958483735
buy,2021-08-10 04:00:00,136.05665588378906,58.226537017264164,
sell,2021-08-16 04:00:00,131.26473999023438,,-0.035220003478901
buy,2021-08-17 04:00:00,128.53355407714844,59.46378202158324,
sell,2021-08-23 04:00:00,132.27044677734375,,0.02907328539248478
buy,2021-08-24 04:00:00,134.97206115722656,58.27354896731737,
sell,2021-08-30 04:00:00,133.20716857910156,,-0.013075984488886985
buy,2021-08-31 04:00:00,133.24658203125,58.25631203936972,
sell,2021-09-07 04:00:00,132.171875,,-0.008065550461909422
buy,2021-09-08 04:00:00,131.9056396484375,58.37389525838805,
sell,2021-09-13 04:00:00,138.01876831054688,,0.04634471034295757
buy,2021-09-14 04:00:00,140.345703125,57.406054803657476,
sell,2021-09-20 04:00:00,140.81898498535156,,0.0033722575740707237
buy,2021-09-21 04:00:00,140.0203094482422,57.73349881398934,
sell,2021-09-27 04:00:00,152.15785217285156,,0.08668415869410685
buy,2021-09-28 04:00:00,151.43809509277344,58.007895388402105,
sell,2021-10-04 04:00:00,152.96636962890625,,0.010091744320981895
buy,2021-10-05 04:00:00,153.2621612548828,57.895941794925896,
sell,2021-10-11 04:00:00,154.62283325195312,,0.008878068702211797
buy,2021-10-12 04:00:00,155.2440185546875,57.66427999909121,
sell,2021-10-18 04:00:00,156.9793701171875,,0.011178218514671412
buy,2021-10-19 04:00:00,152.84805297851562,59.22288296201482,
sell,2021-10-25 04:00:00,152.62127685546875,,-0.0014836703420667762
buy,2021-10-26 04:00:00,153.853759765625,58.74846367416603,
sell,2021-11-01 04:00:00,159.56265258789062,,0.03710596888215365
buy,2021-11-02 04:00:00,157.81744384765625,59.39812780368057,
sell,2021-11-08 05:00:00,166.0307159423828,,0.052042866076673806
buy,2021-11-09 05:00:00,162.46142578125,60.70310929168531,
sell,2021-11-15 05:00:00,153.49880981445312,,-0.055167655483122496
buy,2021-11-16 05:00:00,151.83248901367188,61.369309617728334,
sell,2021-11-22 05:00:00,154.21859741210938,,0.01571540066251987
buy,2021-11-23 05:00:00,155.23414611816406,60.96782885764921,
sell,2021-11-29 05:00:00,148.6575927734375,,-0.042365378424670155
buy,2021-11-30 05:00:00,145.49258422851562,62.29410744650649,
sell,2021-12-06 05:00:00,154.5045166015625,,0.06194083650952564
buy,2021-12-07 05:00:00,154.33688354492188,62.36176821172415,
sell,2021-12-13 05:00:00,151.5268096923828,,-0.01820740310413973
buy,2021-12-14 05:00:00,151.85220336914062,62.228137453675785,
